Plot,mDBH.cm,mBA.cm2,mWD.g/m3,mH.m,AGBH.Mg/ha,Trees,Tree Fall
42,21.76793,478.0126,0.40975,16.53633,93.97151,318,.
41,21.2779,526.921,0.61987,15.80383,192.3412,403,.
94,23.15366,588.2461,0.6122,17.02831,229.1521,369,.
99,21.59683,501.8903,0.60195,16.04309,250.0579,534,.
131,23.72949,600.3215,0.63976,17.52765,309.5442,478,.
44,21.88512,540.1886,0.57529,16.21957,315.4475,639,.
126,31.43781,1048.033,0.60759,21.42687,336.7362,275,.
7,27.46883,1151.123,0.47205,17.61353,80.67314,77,majeur
61,21.97505,517.5035,0.54183,16.45494,212.8378,457,majeur
80,22.07949,620.1087,0.57081,15.70088,289.6289,429,majeur
20,23.34391,676.0923,0.60437,16.58835,294.7225,403,majeur
85,22.84949,639.7526,0.67354,16.2827,300.5311,390,majeur
18,22.97026,576.7576,0.63749,16.80397,324.3411,528,majeur
49,24.49861,674.3486,0.58546,17.612,338.6549,500,majeur
113,24.69139,761.5671,0.6168,17.3425,339.3352,360,majeur
119,26.22478,855.1009,0.56258,18.18454,355.8643,347,majeur
105,24.49696,725.9424,0.62359,17.26535,368.9113,428,majeur
53,24.32598,840.981,0.63632,16.49388,379.0782,331,majeur
31,26.19477,820.6032,0.59995,18.16854,396.9742,458,majeur
133,28.92236,927.9454,0.6345,19.8732,445.3842,416,majeur
11,26.89809,898.0259,0.63079,18.66346,453.1048,418,majeur
98,27.1601,895.5173,0.65138,18.73177,465.8141,416,majeur
13,19.45317,447.6293,0.35659,14.29385,29.89146,126,mineur
19,19.81413,371.2635,0.53223,15.56425,71.4983,269,mineur
63,16.77089,253.672,0.58032,13.46335,80.61829,498,mineur
91,19.4716,397.473,0.51084,14.90057,157.4465,553,mineur
128,23.7362,628.5925,0.62615,17.20744,173.9412,243,mineur
123,20.35872,404.1362,0.6056,16.0857,185.5793,516,mineur
32,20.67302,432.8,0.60692,15.72165,186.6377,504,mineur
45,23.95129,644.4585,0.57133,17.27926,189.1934,310,mineur
118,23.89797,566.5674,0.61495,17.92227,208.4726,394,mineur
68,19.40383,411.4871,0.62078,14.62893,220.9173,548,mineur
36,22.73226,561.1572,0.55516,16.88591,230.8887,468,mineur
127,25.11956,675.6373,0.65172,18.08022,237.4929,314,mineur
112,21.93059,574.8916,0.61152,15.87263,264.7995,412,mineur
55,23.25433,601.1489,0.61328,16.90569,291.7464,462,mineur
111,23.43494,664.6368,0.59338,16.6955,295.9821,372,mineur
120,23.65654,596.6742,0.62239,17.31352,300.0563,421,mineur
62,26.84346,782.8461,0.64358,19.24051,304.4745,375,mineur
60,23.69882,644.4757,0.66275,17.08241,315.1765,426,mineur
12,23.26352,628.1064,0.62528,16.72912,326.6669,488,mineur
10,22.21547,609.0095,0.64766,16.01698,330.9139,478,mineur
74,24.12819,670.9687,0.65379,17.2768,353.6033,454,mineur
37,28.73804,921.0593,0.62253,19.76382,364.9804,355,mineur
6,23.32092,557.1448,0.65716,17.33791,368.9955,612,mineur
73,25.63419,787.4517,0.62545,17.91138,413.3988,430,mineur
52,36.56458,1270.883,0.91,24.31013,432.2189,192,mineur
16,20.40529,440.1447,0.60043,15.53043,242.6363,548,mineur
67,22.67808,527.1086,0.45144,16.81473,26.5399,73,rien
78,22.02188,707.006,0.70163,15.20942,41.95153,64,rien
82,21.18988,462.4813,0.53475,16.00568,48.31643,158,rien
24,17.56665,303.4679,0.50758,13.68853,95.55138,534,rien
50,17.33599,273.821,0.62324,13.91049,103.8113,514,rien
51,18.50897,328.1524,0.64891,14.55408,106.6727,379,rien
110,17.92286,329.5412,0.54581,13.97336,112.1568,455,rien
9,21.77481,513.7697,0.72304,16.20334,158.9876,258,rien
124,20.88178,471.2642,0.58283,15.78266,214.2965,478,rien
122,21.95601,515.6235,0.62003,16.47457,236.4764,441,rien
95,22.71812,571.1973,0.63951,16.83497,274.8971,458,rien
83,24.75175,686.6133,0.65501,17.88486,302.9114,400,rien
29,23.1328,645.2244,0.65584,16.49305,307.1646,436,rien
92,22.08166,541.9051,0.64947,16.31768,317.7856,518,rien
17,24.10158,658.3239,0.70316,17.43608,331.3381,381,rien
48,26.25678,803.3849,0.58759,18.21303,331.764,384,rien
35,24.02615,636.1501,0.60294,17.51584,336.4965,505,rien
66,23.08956,787.9443,0.5226,16.10686,363.7746,383,rien
81,29.39016,989.1287,0.65138,19.83373,383.1982,305,rien
109,28.39427,1050.483,0.66894,18.7861,429.1371,279,rien
54,24.64344,740.8447,0.65761,17.50733,564.5016,511,rien
75,26.75227,933.9237,0.72496,18.16255,613.5778,417,rien
