PlotCode,PlotID,CensusNo,MeanDecimalDate,ChaveMoist,PlotCode,PlotID,BasalArea,MeanGr,Trees,Dead,Recruits
SAN-01,1931,1,2005.367,199.2437978,SAN-01,1931,19.09819884,NA,252,0,0
SAN-02,1932,1,2005.408,231.9265811,SAN-02,1932,19.76575351,NA,267,0,0
SAN-03,1933,1,2005.408,225.2371599,SAN-03,1933,21.42776755,NA,387,0,0
SAN-04,1934,1,2005.622,315.6120059,SAN-04,1934,26.74020387,NA,475,0,0
SAN-05,1935,1,2005.622,333.7648798,SAN-05,1935,24.13816954,NA,406,0,0
SAN-06,1936,1,2005.622,341.8982387,SAN-06,1936,25.96374039,NA,433,0,0
SAN-07,1937,1,2005.622,421.8504336,SAN-07,1937,29.31304652,NA,329,0,0
SAN-08,1938,1,2005.622,335.3216879,SAN-08,1938,30.71908359,NA,379,0,0
SAN-09,1939,1,2005.622,366.9917265,SAN-09,1939,27.59707641,NA,355,0,0
SAN-10,1940,1,2005.622,239.4084258,SAN-10,1940,18.15097253,NA,277,0,0
SAN-11,1941,1,2005.622,362.9106076,SAN-11,1941,30.56055568,NA,435,0,0
SAN-12,1942,1,2005.622,315.485474,SAN-12,1942,24.64493828,NA,348,0,0
SAN-13,1943,1,2005.411,372.0695279,SAN-13,1943,32.02869104,NA,481,0,0
SAN-14,1944,1,2005.622,374.4260371,SAN-14,1944,28.92726365,NA,386,0,0
SAN-15,1945,1,2005.622,431.2191857,SAN-15,1945,33.76900064,NA,417,0,0
SAN-16,1946,1,2005.622,405.0425384,SAN-16,1946,27.85012698,NA,347,0,0
SAN-17,1947,1,2005.622,327.882957,SAN-17,1947,26.6822407,NA,430,0,0
SAN-18,1948,1,2005.622,288.1109834,SAN-18,1948,22.91335682,NA,430,0,0
SAN-19,1949,1,2005.622,360.476522,SAN-19,1949,23.55178656,NA,331,0,0
SAN-20,1950,1,2005.622,342.307777,SAN-20,1950,25.20458945,NA,328,0,0
SAN-21,1951,1,2005.622,486.7038091,SAN-21,1951,31.00810932,NA,373,0,0
