Tusk.kg,Year
12.73512463,1970
12.03407376,1970
13.53554387,1970
9.747084267,1970
11.72313079,1970
11.24977357,1970
10.747083,1970
10.66956295,1970
10.5996092,1970
10.42148711,1970
15.41864062,1970
9.995250538,1970
13.39200364,1970
15.65771601,1970
8.282380465,1970
8.018565519,1970
9.276247174,1970
14.8041693,1970
14.20098201,1970
11.79103129,1970
1.68448289,1990
1.750503078,1990
3.317553474,1990
3.325113305,1990
2.069014451,1990
4.308045796,1990
2.453374907,1990
3.382039828,1990
2.651188359,1990
3.535791126,1990
3.149929813,1990
1.051423885,1990
4.619181873,1990
2.869480158,1990
1.22771011,1990
1.721194918,1990
4.399068046,1990
3.185237792,1990
3.131863005,1990
4.636170198,1990
1.2784463,2010
3.069078892,2010
1.539712159,2010
2.087874715,2010
1.19470241,2010
3.34811698,2010
3.88822287,2010
2.894606672,2010
2.013812625,2010
2.786964133,2010
1.843134068,2010
3.38274406,2010
1.591092428,2010
1.619603823,2010
3.136306836,2010
2.451765343,2010
1.730929853,2010
1.295416873,2010
2.159285385,2010
0.187579625,2010
