,thick,supp,dose
1,4.2,VitB,0.5
2,11.5,VitB,0.5
3,7.3,VitB,0.5
4,5.8,VitB,0.5
5,6.4,VitB,0.5
6,10,VitB,0.5
7,11.2,VitB,0.5
8,11.2,VitB,0.5
9,5.2,VitB,0.5
10,7,VitB,0.5
11,16.5,VitB,1
12,16.5,VitB,1
13,15.2,VitB,1
14,17.3,VitB,1
15,22.5,VitB,1
16,17.3,VitB,1
17,13.6,VitB,1
18,14.5,VitB,1
19,18.8,VitB,1
20,15.5,VitB,1
21,23.6,VitB,2
22,18.5,VitB,2
23,33.9,VitB,2
24,25.5,VitB,2
25,26.4,VitB,2
26,32.5,VitB,2
27,26.7,VitB,2
28,21.5,VitB,2
29,23.3,VitB,2
30,29.5,VitB,2
31,15.2,Zinc,0.5
32,21.5,Zinc,0.5
33,17.6,Zinc,0.5
34,9.7,Zinc,0.5
35,14.5,Zinc,0.5
36,10,Zinc,0.5
37,8.2,Zinc,0.5
38,9.4,Zinc,0.5
39,16.5,Zinc,0.5
40,9.7,Zinc,0.5
41,19.7,Zinc,1
42,23.3,Zinc,1
43,23.6,Zinc,1
44,26.4,Zinc,1
45,20,Zinc,1
46,25.2,Zinc,1
47,25.8,Zinc,1
48,21.2,Zinc,1
49,14.5,Zinc,1
50,27.3,Zinc,1
51,25.5,Zinc,2
52,26.4,Zinc,2
53,22.4,Zinc,2
54,24.5,Zinc,2
55,24.8,Zinc,2
56,30.9,Zinc,2
57,26.4,Zinc,2
58,27.3,Zinc,2
59,29.4,Zinc,2
60,23,Zinc,2
