Plot ,mDBH.cm,mBA.cm2,mWD.g.m3,mH.m,AGBH.Mg.ha,Trees
1,19.4716,397.47302,0.51084,14.90057,157.44646,553
2,20.88178,471.26425,0.58283,15.78266,214.29648,478
3,24.75175,686.61334,0.65501,17.88486,302.91138,400
4,21.77481,513.76971,0.72304,16.20334,158.98764,258
5,21.97505,517.50348,0.54183,16.45494,212.83783,457
6,26.19477,820.60315,0.59995,18.16854,396.97424,458
7,17.56665,303.4679,0.50758,13.68853,95.55138,534
8,28.92236,927.94543,0.6345,19.8732,445.38416,416
9,23.26352,628.10638,0.62528,16.72912,326.66687,488
10,27.1601,895.51733,0.65138,18.73177,465.81406,416
11,19.40383,411.48709,0.62078,14.62893,220.91727,548
12,28.39427,1050.48291,0.66894,18.7861,429.13708,279
13,22.97026,576.75763,0.63749,16.80397,324.34109,528
14,21.59683,501.89026,0.60195,16.04309,250.05794,534
15,24.32598,840.98096,0.63632,16.49388,379.07822,331
16,23.43494,664.63678,0.59338,16.6955,295.98215,372
17,22.84949,639.75262,0.67354,16.2827,300.53113,390
18,21.18988,462.48126,0.53475,16.00568,48.31643,158
19,20.67302,432.80005,0.60692,15.72165,186.63768,504
20,24.12819,670.96869,0.65379,17.2768,353.6033,454
21,31.43781,1048.03333,0.60759,21.42687,336.73618,275
22,23.25433,601.14886,0.61328,16.90569,291.74637,462
23,24.02615,636.15009,0.60294,17.51584,336.49646,505
24,26.84346,782.84607,0.64358,19.24051,304.47452,375
25,22.67808,527.10864,0.45144,16.81473,26.5399,73
26,19.45317,447.6293,0.35659,14.29385,29.89146,126
27,21.2779,526.92096,0.61987,15.80383,192.34122,403
28,21.76793,478.01257,0.40975,16.53633,93.97151,318
29,26.25678,803.38495,0.58759,18.21303,331.76404,384
30,21.95601,515.62354,0.62003,16.47457,236.47636,441
31,20.35872,404.13617,0.6056,16.0857,185.57927,516
32,24.69139,761.56708,0.6168,17.3425,339.33521,360
33,29.39016,989.12866,0.65138,19.83373,383.19818,305
34,23.72949,600.32147,0.63976,17.52765,309.54425,478
35,21.93059,574.8916,0.61152,15.87263,264.79953,412
36,17.92286,329.54123,0.54581,13.97336,112.15682,455
37,23.69882,644.47571,0.66275,17.08241,315.17648,426
38,25.63419,787.45166,0.62545,17.91138,413.3988,430
39,23.7362,628.59253,0.62615,17.20744,173.94116,243
40,23.89797,566.56744,0.61495,17.92227,208.47255,394
41,26.22478,855.10089,0.56258,18.18454,355.86426,347
42,23.65654,596.67419,0.62239,17.31352,300.05627,421
43,26.75227,933.92371,0.72496,18.16255,613.57776,417
44,19.53745,378.82748,0.48733,15.19823,152.80196,625
45,26.30278,988.13971,0.59712,17.58526,490.992,453
46,24.38176,746.87701,0.50661,16.97513,292.13248,488
47,23.95129,644.4585,0.57133,17.27926,189.19339,310
48,24.10158,658.32391,0.70316,17.43608,331.33813,381
49,23.1328,645.22443,0.65584,16.49305,307.16455,436
50,26.89809,898.02594,0.63079,18.66346,453.10477,418
51,27.46883,1151.12268,0.47205,17.61353,80.67314,77
52,28.73804,921.05933,0.62253,19.76382,364.98044,355
53,22.73226,561.15723,0.55516,16.88591,230.88873,468
54,23.34391,676.09229,0.60437,16.58835,294.72247,403
55,22.21547,609.00946,0.64766,16.01698,330.91388,478
56,22.08166,541.90509,0.64947,16.31768,317.78561,518
57,16.77089,253.67197,0.58032,13.46335,80.61829,498
58,22.07949,620.1087,0.57081,15.70088,289.62891,429
59,21.88512,540.1886,0.57529,16.21957,315.44754,639
60,36.56458,1270.88293,0.91,24.31013,432.2189,192
61,22.02188,707.00598,0.70163,15.20942,41.95153,64
62,20.40529,440.14474,0.60043,15.53043,242.63631,548
63,24.64344,740.84473,0.65761,17.50733,564.50159,511
64,17.33599,273.82104,0.62324,13.91049,103.81131,514
65,23.32092,557.14484,0.65716,17.33791,368.99551,612
66,24.49696,725.94238,0.62359,17.26535,368.91132,428
67,19.81413,371.26352,0.53223,15.56425,71.4983,269
68,25.11956,675.63727,0.65172,18.08022,237.49295,314
69,23.15366,588.24609,0.6122,17.02831,229.15208,369
70,24.49861,674.34863,0.58546,17.612,338.65485,500
71,23.08956,787.94434,0.5226,16.10686,363.77463,383
72,22.71812,571.19727,0.63951,16.83497,274.89713,458
73,18.50897,328.1524,0.64891,14.55408,106.67267,379
