"","Mites","Domatia","Site","Type"
"1",0,"D0","1","1"
"2",0,"D0","1","2"
"3",0,"D0","2","1"
"4",0,"D0","2","2"
"5",0,"D0","3","1"
"6",1,"D0","3","2"
"7",1,"D0","4","1"
"8",1,"D0","4","2"
"9",1,"D0","5","1"
"10",1,"D0","5","2"
"11",1,"D0","6","1"
"12",2,"D0","6","2"
"13",2,"D0","7","1"
"14",4,"D0","7","2"
"15",0,"D50","1","1"
"16",0,"D50","1","2"
"17",0,"D50","2","1"
"18",1,"D50","2","2"
"19",1,"D50","3","1"
"20",2,"D50","3","2"
"21",2,"D50","4","1"
"22",2,"D50","4","2"
"23",2,"D50","5","1"
"24",3,"D50","5","2"
"25",3,"D50","6","1"
"26",3,"D50","6","2"
"27",3,"D50","7","1"
"28",4,"D50","7","2"
"29",0,"Dcont","1","1"
"30",1,"Dcont","1","2"
"31",1,"Dcont","2","1"
"32",1,"Dcont","2","2"
"33",2,"Dcont","3","1"
"34",2,"Dcont","3","2"
"35",2,"Dcont","4","1"
"36",2,"Dcont","4","2"
"37",3,"Dcont","5","1"
"38",4,"Dcont","5","2"
"39",4,"Dcont","6","1"
"40",4,"Dcont","6","2"
"41",4,"Dcont","7","1"
"42",4,"Dcont","7","2"
